,ref_mild,ref_mod,ref_sev,PS_LOG_NORM_2D_mild,PS_LOG_NORM_2D_mod,PS_LOG_NORM_2D_sev
0,0.0,0.0,0.0,0.3862,0.1668253,0.059763074
1,1.0,1.0,1.0,0.98671883,0.9070722,0.409414
2,1.0,0.0,0.0,0.9646013,0.6167841,0.41618934
3,1.0,1.0,0.0,0.9747286,0.9022255,0.31285405
4,1.0,1.0,1.0,0.9933492,0.8900017,0.5296843
5,0.0,0.0,0.0,0.71445644,0.40956423,0.15862429
6,0.0,0.0,0.0,0.6203803,0.3497942,0.13553753
7,0.0,0.0,0.0,0.3665583,0.12467199,0.046348743
8,1.0,0.0,0.0,0.699625,0.32827595,0.16363981
9,1.0,1.0,1.0,0.9247813,0.65118253,0.39084542
10,0.0,0.0,0.0,0.056298677,0.007000477,0.00058521907
11,1.0,1.0,1.0,0.97550154,0.87155247,0.46709192
12,1.0,0.0,0.0,0.6170356,0.20798689,0.07012748
13,0.0,0.0,0.0,0.19300796,0.038567178,0.012531411
14,1.0,0.0,0.0,0.92214644,0.5470511,0.33153358
15,1.0,1.0,1.0,0.9153435,0.7343778,0.43092743
16,1.0,0.0,0.0,0.94803005,0.54647577,0.17469126
17,1.0,1.0,1.0,0.96317685,0.7958424,0.47317052
18,0.0,0.0,0.0,0.16587578,0.00949365,0.0038364085
19,0.0,0.0,0.0,0.27513295,0.1719906,0.07769586
20,1.0,0.0,0.0,0.67246515,0.26324987,0.120920464
21,0.0,0.0,0.0,0.105720416,0.010793275,0.0051170257
22,1.0,1.0,1.0,0.9600264,0.71605074,0.45336196
23,0.0,0.0,0.0,0.16679162,0.022671469,0.009107646
24,1.0,1.0,0.0,0.92381173,0.7341768,0.20310842
25,1.0,1.0,1.0,0.9025972,0.66367066,0.27933994
26,0.0,0.0,0.0,0.27928165,0.081776515,0.026729932
27,1.0,0.0,0.0,0.89369714,0.59305656,0.33427584
28,1.0,1.0,0.0,0.89758074,0.67378944,0.33284304
29,0.0,0.0,0.0,0.051235702,0.0034896862,0.0010784802
30,0.0,0.0,0.0,0.35868073,0.08776786,0.025881102
